name,phone,email,website,address,location
Airtec Thermoprocess GmbH Industrieofenbau,+49 2872 94899-0,info@airtec-gmbh.de,https://www.airtec-gmbh.de,"Heinrich-Hertz-Str. 2, Rhede, 46414, Germany",Hall 11 / E67
AISA Automation Industrielle S.A.,+41 24 4820110,info@aisa.com,https://www.aisa.com,"Av. de Savoie 61, Vouvry, 1896, Switzerland",Hall 4 / A35
Akdemir End. Amb. Mak. San. Tic. Ltd. Sti.,+90-352-3213004,sales@akdemirmakina.com.tr,https://www.akdemirmakina.com.tr,"Organize Sanayi Bölgesi, 16, Cad. No: 49, Melikgazi-Kayseri, 38070, Türkiye",Hall 3 / G71
Akdeniz Chemson Kimya San. ve Tic. A.S.,+90-232-877-0144,info@akdenizchemson.com,https://www.akdenizchemson.com,"Kemalpasa O.S.B. Mah No. 45 Kemalpasa Asfalti Caddesi, Kemalpasa-Izmir, 35735, Türkiye",Hall 6 / C11
AKKAYA EPS MAK.IML.SAN.VE TIC.A.S.,+90 282 6555894,info@akkaya-akkaya.com,https://www.akkaya-akkaya.com,"Ulaş OSB Mah. 202. Sok. No:12/1 Ergene, Tekirdag, 59930, Türkiye",Hall 13 / D16
AKPA Chemie GmbH,+49 151 63855921,gokhan.gursoy@akpachemie.de,https://akpachemie.de,"Escherholzweg 5a, Gilching, 82205, Germany","Hall 7, level 1 / A43"
Akport Makine Sanayi ve Ticaret Ltd. Sti.,+90 212 8765313,info@akportmakine.com,https://www.akportmakine.com,"Mermerciler San. Sit. 2. Bulvar No: 10 Beylikduzu, Istanbul, 34524, Türkiye",Hall 17 / C73
AKRO-PLASTIC GmbH,+49 2636 9742-0,info@akro-plastic.com,https://www.akro-plastic.com,"Industriegebiet Brohltal Ost Im Stiefelfeld 1, Niederzissen, 56651, Germany",Hall 6 / C76
Akron Ohio USA,+1-330-3752133,,https://www.akronohio.gov,"388 South Main Street, Suite 205, Akron OH, 44333, USA",Hall 13 / A89-13
AKSHAY ENTERPRISE,+91-288-2730797,info@abcbrass.com,https://www.abcbrass.com,"Plot No.3909, Road No.'W, Phase III Dared, G.I.D.C, Jamnagar, 361004, India",Hall 1 / C84
Al Rehab CHEM Trading LLC,+971-52-9054110,islam.fekry@alrehabchem.com,https://www.alrehabchem.com,"Sit Tower - Silicon Oasis, Dubai, 121500, United Arab Emirates","Hall 7, level 2 / C14"
Al Sharq Flexible Packaging Factories LL,+966 55 1280000,irfan@alsharqflex.com,https://www.alsharqflex.com,"2nd Industrial Area Street No. 190, Riyadh, 11411, Saudi Arabia","Hall 7, level 1 / B02"
AL-MAK Ates Makine San. ve Ticaret A.S.,+90-212-4410177,almak@almakmakina.com,https://www.almakmakina.com,"AkÇaburgaz Mah.3137 Sokak No.22/2 Esenyurt, Istanbul, 34522, Türkiye",Hall 11 / D22-06
AL.MA. S.r.l. Packing and Packaging Machinery,+39 031 904491,info@almapackaging.com,https://www.almapackaging.com,"Via G. Rossini, 3, Cadorago (CO), 22071, Italy",Hall 3 / A20
Alamere Medical Corporation,+1 928 8987571,alameremedical@gmail.com,https://www.alameremed.com,"2021, North California Boulevard,, Walnut Creek, 94595, USA","Hall 7, level 2 / A18"
Alarge Alic Agacı Mechanic Electronic R&D Industry and Trade Ltd. Co.,+90 212 2786102,info@alarge.com.tr,https://www.alarge.com.tr,"Ciftehavuzlar Mahallesi YTU Technopark, Block: d2. No: 2b01, Esenler/Istanbul, 34220, Türkiye",Hall 11 / G46
Albemarle,+1 980 2995693,christina.dahlman@albemarle.com,https://www.albemarle.com,"4250, Congress st Suite 900, Charlotte, 28209, USA",Hall 6 / D61
ALBIS Distribution GmbH & Co. KG,+49-40-78105-0,info@albis.com,https://www.albis.com,"Mühlenhagen 35, Hamburg, 20539, Germany",Hall 6 / A62
Albrecht Bäumer GmbH & Co. KG,+49-2734-289-0,contact@baeumer.com,https://www.baeumer.com,"Asdorfer Str. 96-106, Freudenberg, 57258, Germany",Hall 3 / A33
ALEMO Strojegradnja d.o.o.,+386 5 3932485,info@alemo.eu,https://alemo.eu,"Mednarodni Prehod 6, Sempeter pri Gorici, 5290, Slovenia",Hall 16 / C06
ALESSIOHITECH SRL,+39 035 4934811,comm@alessiohitech.com,https://www.alessiohitech.com,"Via Torre, 15, Medolago (BG), 24030, Italy",Hall 13 / D90
Alfa Merdane Kauçuk San. ve Tic. A.Ş.,+90 212 8750875,info@alfamerdane.com,https://www.alfamerdane.com,"Yakuplu Mah. 226.sk. No:3/1, Beylikdüzü Istanbul, 34524, Türkiye",Hall 11 / H29
"ALFARBEN, S.A.",+34-964-360063,alfarben@alfarben.com,https://www.alfarben.com,"Av. Castellón, km 21, 5, L'Alcora (Castellon), 12110, Spain",Hall 5 / B02
ALFATECH S.r.l.,+39-0331-814970,info@alfatech-it.com,https://www.alfatech-it.com,"Via Lecco, 12, Tradate (VA), 21049, Italy",Hall 16 / E68
Alimatic S.L.,+34 63790853 6525680,alimatic@alimatic.com,https://www.alimatic.com,"Andorra, 19 B-C, Sant Boi de Llobregat (Barcelona), 08830, Spain",Hall 10 / G14
Alkegen Unifrax and Lydall,+1-716-768-6500,,https://www.alkegen.com,"5215 N. O'Connor Blvd Suite 2300, Irving TX, 75039, USA",Hall 13 / A89-10
ALLOD Werkstoff GmbH & Co. KG,+49-9843-98089-0,information@allod.com,https://www.allod.com,"Steinacher Str. 3, Burgbernheim, 91593, Germany",Hall 6 / C54-01
Allstein GmbH,+49-5221-69499-10,info@allstein.com,https://www.allstein.com,"Bunsenstr. 24, Herford, 32052, Germany",Hall 4 / A57
"ALLWIN PRECISION MOULD CO.,LTD",+86-755-28198157,julie.wen@allwintechcn.com,https://www.allwintechcn.com,"Ruyifa Industrial Zone, Guanhu Street Long Hua District, Shenzhen Guangdong, 518110, China",Hall 8b / A17
almaak international GmbH,+49 2151 496-0,info@almaak.de,https://www.almaak.de,"Elbestr. 29, Krefeld, 47800, Germany",Hall 8b / D60
Alok Masterbatches Pvt. Ltd.,+91 11 41612244,info@alokindustries.com,https://www.alokmasterbatches.com,"227, Okhla Estate, Phase III, New Delhi, 110020, India",Hall 8a / B12
ALOXE FRANCE SAS,+33 67634763 676347635,contact@aloxe.one,https://www.aloxe.one,"258, rue Alexandre Pourcel Parc D'Activités Moselle Rive Gauche, Messein, 54850, France",Hall 5 / D04-14
Alpha Calcit Füllstoff GmbH & Co. KG,+49 2236 8914-0,info@alpha-calcit.de,https://www.alpha-calcit.de,"Otto-Hahn-Str. 9-11, Köln, 50997, Germany",Hall 8a / E13
Alpha Wings Industry Limited,+1 236 8696536,info@alphawings.ca,https://www.alphawings.ca,"Suite 300, 15300 Croydon Drive, Surrey BC, V3Z0Z5, Canada","Hall 7, level 1 / D28"
alphacam GmbH,+49-7181-9222-0,info@alphacam.de,https://www.alphacam.de,"Erlenwiesen 16, Schorndorf, 73614, Germany",Hall 4 / C12
ALPHAMAC SRL,+39-051-6514111,alessia.dosio@ima.it,https://www.alphamac.it,"Via Rinascita 25, Ozzano Emilia bo, 40064, Italy",Hall 14 / B18
ALREC-TEC GmbH,+49 6029 9936690,info@alrec-tec.de,https://www.alrec-tec.de,"Molkenberg 18, Mömbris, 63776, Germany",Hall 9 / A21
Alsa Plastik Ambalaj SAN ve TİC LTD ŞTİ,+90-532-37947,info@alsaplastik.com.tr,https://www.alsaplastik.com.tr,"Osmangazi Mahallesi 2647. Sokak No:32, Istanbul/ Esenyurt, 34000, Türkiye","Hall 7, level 1 / A05"
ALTECH MAKİNE SANAYİ VE TİCARET A.Ş.,+90-212-5052273,altech@altechmakina.com,https://www.altechmakina.com,"Akcaburgaz Mah. 3137 Sokak No. 22/1, Kirac-Esenyurt/Istanbul, 34522, Türkiye",Hall 9 / C45
Altero Recycling Machinery S.L.,+34-93-7150607-70,info@alteromachinery.com,https://www.alteromachinery.com,"Can Clapers 29 Nave 2a, Sentmenat, 08181, Spain",Hall 10 / G10
Alti Systems SAS,+33 6 70349117,sgilles@alti-techniques.fr,https://www.alti-systems.fr,"La Croix Saint Martin ZA Chavanon, Monistrol Sur Loire, 43120, France",Hall 11 / H68
Altynarna Geosynthetics LLP,+7 747 8312421,marketing@rikaz.kz,https://altynarna.kz,"Karaganda Region, Bukhar-Zhyrau District With. Doskey, Accounting Quarter 028, Karaganda, 100408, Kazakhstan",Hall 8b / F74
Alucha Works BV,+31-6-28160582,gijs.jansen@alucha.com,https://www.alucha.com,"Lange Linden 31, Katwijk nb, 5433 NB, Netherlands",Hall 8a / H29
ALWA Technische Produkte für Kunststoffverarbeitung Modell- und Formbau GmbH,+49 2562 98157,info@alwa.de,https://www.alwa.de,"Röntgenstr. 1, Gronau, 48599, Germany",Hall 5 / A14
Alwan Company,+20 2 1209506,info@alwanpur.com,https://www.alwanpur.com,"Plot 141 East el Robeiky Road, Badr City Cairo, 11829, Egypt","Hall 7, level 2 / B17"
Amandus Kahl GmbH & Co. KG,+49 40 72771-0,info@akahl.de,https://www.akahl.com,"Dieselstr. 5-9, Reinbek, 21465, Germany",Hall 10 / B51
AMAPLAST Italian Plastics and Rubber Processing Machinery and Moulds Manufacturers&#8217; Association,+39-02-8228371,info@amaplast.org,https://www.amaplast.org,"Centro Direzionale Milanofiori Palazzo F/3, Assago (MI), 20057, Italy",Hall 16 / A56
Ambica Engineering & Wire Industries,+91 79 22871245,ambica@ambicagroup.com,https://www.ambicagroup.com,"L-45, G.i.d.c. Estate, Odhav, Ahmedabad, 382 415, India",Hall 12 / D79
AMI PHTHALO PIGMENTS (Partnership),+91-98-24031451,ankit.patel@amiphthalo.com,https://www.amiphthalo.com,"1902, Phase-Iv, Gidc Vatva, Ahmedabad, 382445, India",Hall 5 / B05-01
AMIK ITALIA SPA,+39 02 5072921,amik@amikitalia.it,https://www.amikitalia.com,"Via Mecenate 84/B, Milano, 20138, Italy",Hall 8b / C61
AMIS Maschinen-Vertriebs GmbH,+49 6226 78900,info@amis.de,https://www.amis.de,"Im Rohrbusch 15, Zuzenhausen, 74939, Germany",Hall 9 / D41
Ampacet Europe SA,+352-29-20991,marketing.europe@ampacet.com,https://www.ampacet.com,"Z.a.e. Wolser h, 130, Dudelange, 3451, Luxembourg",Hall 5 / C24
Ampacet Israel Ltd.,+972-4-9028800,uri@liadsmart.com,https://liadsmart.com,"Sky St, Misgav Industrial Park, Misgave, 2017400, Israel",Hall 11 / I54
AMS BELGIUM BV,+32-475-286682,johan.potargent@amsrobotics.com,https://www.ams-innovation.com,"Kieleberg 5, Bilzen, 3740, Belgium",Hall 12 / F46
Amut S.p.A.,+39-0321-6641,info@amut.it,https://www.amut.it,"Via Cameri, 16, Novara, 28100, Italy",Hall 16 / A05
AMUTEC SRL,+39 055 8550059,ufficio.commerciale@amutecsrl.com,https://www.amutecsrl.com,"Via Donzelli da Poneta 22, Greve in Chianti (FI), 50022, Italy",Hall 3 / B54
ANADOLU MİKRONİZE KİMYA SAN. VE TİC ANONİM ŞİRKETİ CO. LTD.,+90-212-5831131,purchase@anadolumikronize.com.tr,https://www.anadolumikronize.com.tr,"Oruçreis Mahallesi Tekstilkent Cad. Koza Plaza A Blok No: 17, Esenkent-Istanbul, 34235, Türkiye",Hall 8a / H50
ANADOLU TEL DOKUMA SAN.VE DIS.LTD.STI.,+90-212-4859525,sales2@anadolutel.com.tr,https://www.anadolutel.com.tr,"Ikitelli OSB Mah. Tormak Sanayi Sitesi P Blok No:30, Basaksehir/Istanbul, 34490, Türkiye",Hall 11 / C18-05
ANAIP (Spanish Association of Plastics Industry),+34-91-3565455-720400,mcarmen.delamo@anaip.es,https://www.anaip.es,"Coslada, 18, Madrid, 28028, Spain",Hall 8a / E12-03
ANANTA MOULDS PVT. LTD.,+91-401208-09022072381,accounts@anantamouldsindia.com,https://ananta@anantamouldsindia.com,"Building No.- 04, Gala No.- 04, Modern I, Vasai, 401208, India",Hall 12 / D70-07
Anar Rubtech Pvt. Ltd,+91-79-22743428,info@anarrubber.com,https://anarrubber.com,"7, Panchal Industrial Estate Near SBI Bank Bapunagar, Ahmedabad, 380024, India",Hall 12 / D70-09
"AND&OR, S.L.U.",+34 954 779200,andyor@andyor.com,https://www.andyor.com,"Pi el Limon Avda. Europa, 6, Palomares Del Rio (Sevilla), 41928, Spain",Hall 14 / B05
Angleter UAB,+370 646 02821,info@angleter.lt,https://www.angleter.lt,"Tiesioji Street 11, Alytus, 64106, Lithuania",Hall 1 / E92
"Anhui Dwell Extrusion Machinery Co., Ltd",+86-550-3975588,salpmy@dwell-extrusion.com,https://www.dwell-extrusion.com,"No.555, Hangzhou North Road, Chuzhou City, Anhui, 239000, China",Hall 15 / A46-1
Anhui Fulin Environmental Science and Technology Co. LTD.,+86 561 13957308283,liuhaomiao@ahflhb.com,https://www.ahflhb.com,"No. 1, Xinnan Road, Duanyuan Town, Duji District, Huaibei Anhui, 235058, China",Hall 5 / E08
"ANHUI GOLD STAR TITANIUM DIOXIDE (GROUP) CO.,LTD.",+86 510 85016667,chti@sinotio2.com,https://www.zhtb.com,"No.1 Xinhua Road, Cihu Economic Development Zone, Maanshan, 243000, China","Hall 7, level 2 / F11"
"Anhui Jumei Biological Technology Co., Ltd",+86-553-3019228,info@ah-jumei.com,https://www.ahjmsw.com,"No.23, Liulang Road, Xinwu Economic Development Zone, Wanzhi District, Wuhu Anhui, 241000, China","Hall 7, level 1 / E03-10"
"ANJI HENANPLASTIC MACHINERY CO., LTD.",+86 371 65654729,sc@anjiplast.com,https://www.anjiplast.com,"Industrial Road Located New Zone Zhandia Wuzhi County, Jiaozuo Henan, 454971, China",Hall 10 / H46
Anton Paar GmbH,+43 664 6192898,daniela.kratz@anton-paar.com,https://www.anton-paar.com,"Anton-Paar-Str. 20, Graz, 8054, Austria",Hall 10 / A14
Anupam Heaters & Controls Pvt. Ltd.,+91 22 258380-51,info@anupamheaters.com,https://www.anupamheaters.com,"Sumagal Plot No. A 284 Rd. No. 30 Wagle Ind. Estate, Thane (W), Mumbai, 400604, India",Hall 11 / D56
ANWIL S.A.,+48 24 2021222,anwil@anwil.pl,https://www.anwil.orlen.pl,"Toruńska 222, Włocławek, 87-805, Poland",Hall 7a / C01
ANYBRID GmbH,+49-351-463-38269,messeanybrid@anybrid.de,https://anybrid.de,"Marschnerstr. 39, Dresden, 01307, Germany","Hall 7, level 0 / C07"
Anysort Anhui Jiexun Optoelectronic Technology Co. Ltd.,+86 551 6426695,jasper@ahjiexun.com,https://www.hfjiexun.com,"No.6 Xiaocheng Road of Industrial Park, Hefei, 23000, China",Hall 10 / D30
"Aoki Technical Laboratory, Inc.",+81 268 820111,inquiries@aokitech.co.jp,https://www.aokitech.co.jp,"4963-3, Minamijo Sakaki-Machi, Hanishina-Gun, Nagano-Ken, 389-0603, Japan",Hall 14 / B67
Apex-Desco Machine Company Corp.,+1 954 5661572,email@apexmachine.com,https://www.apexmachine.com,"3000 NE 12 Terrace, Fort Lauderdale FL, 33334, USA",Hall 4 / C21
Applied Plasma Inc,+82-54-604-0099,sales@apinc.co.kr,https://www.apinc.co.kr,"23-31, 4gongdan-Ro 7-Gil, Gumi-Si, Gyeongsangbuk-do, Gumi-Si, 39422, Korea, Republic",Hall 11 / A04
Apras Polymers Pvt. Ltd Company,+91 94034 65046,info@apras.co.in,https://apras.co.in,"Apras Polymers J-18, Near Mahindra Epc,, Nashik, 422008, India","Hall 7, level 2 / F20"
Aquapurge Ltd,+44 208 8137990,enquiries@aquapurge.com,https://www.aquapurge.com,"Unit 2, Argent Trade Park, Pump Lane,, Hayes, UB3 3BN, United Kingdom of Great Britain and Northern Ireland",Hall 5 / A28
AQUENT ADVANCE MATERIAL TECHNOLOGIES PVT LTD,+91-22-9820347304,csr@aquent.in,https://WWW.AADIBOND.COM,"607, Universal Majestic, Behind RBK International School, Chembur, Mumbai, 400043, India","Hall 7, level 1 / B23"
ARBURG GmbH + Co KG,+49 7446 33-0,contact@arburg.com,https://www.arburg.com,"Arthur-Hehl-Str., Loßburg, 72290, Germany",Open Area / E04
ARBURG GmbH + Co KG,+49-7446-33-0,contact@arburg.com,https://www.arburg.com,"Arthur-Hehl-Str., Loßburg, 72290, Germany",Hall 13 / A13-1..A13-2
AREA S.r.l.,+39 02 95327281,sales@areapackaging.com,https://www.areapackaging.com,"Via Papa Giovanni Xxiii, 18/20, Rodano (MI), 20053, Italy",Hall 13 / C12
Aref Sogutma Sistemleri Diş. Tic. Ltd. Sti.,+90 212 6130725,info@arefsogutma.com,https://www.arefsogutma.com,"Hadımköy Mah.ayasofya Cad.elvan Sok. No:3 Enco Tesisleri Hadimköy-Arnav, Istanbul, 3400, Türkiye",Hall 11 / H66
Arena Comet NV Thermal Cleaning Technologies,+32 9 3618772,info@arenacomet.eu,https://www.arenacomet.eu,"Spieveldstraat 7, Lokeren, 9160, Belgium",Hall 10 / E20
ARGE ROBOTIK OTOMASYON SAN. TIC. LTD. STI.,+90-216-5272703,info@argerobotik.com,https://www.argerobotik.com,"Aydınlar Mahallesi, Mermerciler Cd. No:12 Cekmeköy, Istanbul, Türkiye",Hall 13 / A26
ARGUS Additive Plastics GmbH,+49-2951-9909-0,mail@argus-additive.de,https://www.argus-additive.com,"Oberer Westring 3-7, Büren, 33142, Germany",Hall 6 / A39
